source_name,status,mapped_to,notes
Baummu,exact_match,Baummu,
Bavva,exact_match,Bavva,
Bedlam,manual_required,,no exact or unique normalized match
Begeren,exact_match,Begeren,
Belasco,exact_match,Belasco,
Belassar,exact_match,Belassar,
Belazura,exact_match,Belazura,
Belderone,exact_match,Belderone,
Belgaroth,exact_match,Belgaroth,
Belkadan,exact_match,Belkadan,
Bellassa,exact_match,Bellassa,
Belnar,exact_match,Belnar,
Belsavis,exact_match,Belsavis,
Beltrix III,exact_match,Beltrix III,
Bendeluum,exact_match,Bendeluum,
Bengat,exact_match,Bengat,
Berchest,exact_match,Berchest,
Beris,exact_match,Beris,
Berri,exact_match,Berri,
Berrol's Donn,exact_match,Berrol's Donn,
Besberra,exact_match,Besberra,
Bescane,exact_match,Bescane,
Besero,exact_match,Besero,
Besnia,exact_match,Besnia,
Bespin,exact_match,Bespin,
Bestine,exact_match,Bestine,
Betha,exact_match,Betha,
Betshish,exact_match,Betshish,
Bettel,exact_match,Bettel,
Bextar,exact_match,Bextar,
Bhargebba,exact_match,Bhargebba,
Bheriz,exact_match,Bheriz,
Biewa,exact_match,Biewa,
Biitu,exact_match,Biitu,
Bilbringi,exact_match,Bilbringi,
Bimin Three,exact_match,Bimin Three,
Bimmiel,exact_match,Bimmiel,
Bimmisaari,exact_match,Bimmisaari,
Birgis,exact_match,Birgis,
Bisellia,exact_match,Bisellia,
Bissillirus,exact_match,Bissillirus,
Bith,exact_match,Bith,
Blenjeel,exact_match,Blenjeel,
Blimph,exact_match,Blimph,
Bnar,exact_match,Bnar,
Bogden,exact_match,Bogden,
Bogo Rai,exact_match,Bogo Rai,
Bomis Koori,exact_match,Bomis Koori,
Bonadan,exact_match,Bonadan,
Boonta,exact_match,Boonta,
Boordii,exact_match,Boordii,
Bootana Shagplan,exact_match,Bootana Shagplan,
Boranda,exact_match,Boranda,
Borao,exact_match,Borao,
Borgo Prime,exact_match,Borgo Prime,
Borkyne,exact_match,Borkyne,
Borleias,exact_match,Borleias,
Boro-borosa,exact_match,Boro-borosa,
Borosk,exact_match,Borosk,
Bortras,exact_match,Bortras,
Bosph,exact_match,Bosph,
Bosthirda,exact_match,Bosthirda,
Botajef,exact_match,Botajef,
Bothawui,exact_match,Bothawui,
Botor,exact_match,Botor,
Boudolayz,exact_match,Boudolayz,
Bovo Yagen,exact_match,Bovo Yagen,
Boz Pity,exact_match,Boz Pity,
Bpfassh,exact_match,Bpfassh,
Brentaal,exact_match,Brentaal,
Bresnia,exact_match,Bresnia,
Brevost,exact_match,Brevost,
Brigia,exact_match,Brigia,
Brochiib,exact_match,Brochiib,
Brodo Asogi,exact_match,Brodo Asogi,
Broest,exact_match,Broest,
Bronsoon,exact_match,Bronsoon,
Brosi,exact_match,Brosi,
Bryexx,exact_match,Bryexx,
Bryx,exact_match,Bryx,
Bseto,exact_match,Bseto,
Buchich,exact_match,Buchich,
Budpock,exact_match,Budpock,
Bunduki,exact_match,Bunduki,
Burnin Konn,exact_match,Burnin Konn,
Burska,exact_match,Burska,
Byblos,exact_match,Byblos,
Byss,exact_match,Byss,
C-Foroon,exact_match,C-Foroon,
Caamas,exact_match,Caamas,
Cademimu,exact_match,Cademimu,
Cadinth,exact_match,Cadinth,
Cadma,exact_match,Cadma,
Cadomai,exact_match,Cadomai,
Cal-Seti,exact_match,Cal-Seti,
Calfa,exact_match,Calfa,
Calonica,exact_match,Calonica,
Caltinia,exact_match,Caltinia,
Calus,exact_match,Calus,
Caluula,exact_match,Caluula,
Cambria,exact_match,Cambria,
Camden,exact_match,Camden,
Candoria,exact_match,Candoria,
Cantonica,exact_match,Cantonica,
Cantras Gola,exact_match,Cantras Gola,
Cantros,exact_match,Cantros,
Capella,exact_match,Capella,
Capza,exact_match,Capza,
Carcel,exact_match,Carcel,
Carest,exact_match,Carest,
Cargamalis,exact_match,Cargamalis,
Carida,exact_match,Carida,
Carlac,exact_match,Carlac,
Carlania,exact_match,Carlania,
Carnovia,exact_match,Carnovia,
Carosi,exact_match,Carosi,
Carratos,exact_match,Carratos,
Carsanza,exact_match,Carsanza,
Cartao,exact_match,Cartao,
Casfield,exact_match,Casfield,
Cassander,exact_match,Cassander,
Castell,exact_match,Castell,
Cathar,exact_match,Cathar,
Cato Neimoidia,exact_match,Cato Neimoidia,
Celanon,exact_match,Celanon,
Celdaru,exact_match,Celdaru,
Celegia,exact_match,Celegia,
Celwis,exact_match,Celwis,
Centares,exact_match,Centares,
Cerea,exact_match,Cerea,
Cerenia,exact_match,Cerenia,
Cezith,exact_match,Cezith,
Ch'hodos,exact_match,Ch'hodos,
Chad,exact_match,Chad,
Chalacta,exact_match,Chalacta,
Chalcedon,exact_match,Chalcedon,
Challon,exact_match,Challon,
Chamble,exact_match,Chamble,
Chamm,exact_match,Chamm,
Champala,exact_match,Champala,
Chandaar,exact_match,Chandaar,
Chandrila,exact_match,Chandrila,
Chanosant,exact_match,Chanosant,
Chardaan,exact_match,Chardaan,
Charra,exact_match,Charra,
Charros,exact_match,Charros,
Charubah,exact_match,Charubah,
Chasin,exact_match,Chasin,
Chazwa,exact_match,Chazwa,
Cheelit,exact_match,Cheelit,
Cheku,exact_match,Cheku,
Chenowei,exact_match,Chenowei,
Cheruba,exact_match,Cheruba,
Chibias,exact_match,Chibias,
Chiron,exact_match,Chiron,
Chokan,exact_match,Chokan,
Cholganna,exact_match,Cholganna,
Chorax,exact_match,Chorax,
Chosper,exact_match,Chosper,
Chrellis,manual_required,,no exact or unique normalized match
Christophsis,exact_match,Christophsis,
Chroma Zed,exact_match,Chroma Zed,
Chryya,exact_match,Chryya,
Churruma,exact_match,Churruma,
Cilpar,exact_match,Cilpar,
Cioral,exact_match,Cioral,
Circumtore,exact_match,Circumtore,
Cirrus,exact_match,Cirrus,
Cirus,exact_match,Cirus,
Ciutric,exact_match,Ciutric,
Clantaano,exact_match,Clantaano,
Cmaoli Di,exact_match,Cmaoli Di,
Coachelle,exact_match,Coachelle,
Codia,exact_match,Codia,
Colla IV,exact_match,Colla IV,
Colonial Station Cam'co,exact_match,Colonial Station Cam'co,
Colonial Station Chaf,exact_match,Colonial Station Chaf,
Columex,exact_match,Columex,
Columus,exact_match,Columus,
Comkin V,exact_match,Comkin V,
Commenor,exact_match,Commenor,
Comra,exact_match,Comra,
Cona,exact_match,Cona,
Concord Dawn,exact_match,Concord Dawn,
Condular,exact_match,Condular,
Constancia,exact_match,Constancia,
Contruum,exact_match,Contruum,
Coonee,exact_match,Coonee,
Copero,exact_match,Copero,
Cophrigin,exact_match,Cophrigin,
Copperline,exact_match,Copperline,
Corann,exact_match,Corann,
Corbett CLuster,exact_match,Corbett CLuster,
Corbos,exact_match,Corbos,
Corellia,exact_match,Corellia,
Corlass,exact_match,Corlass,
Cormit,exact_match,Cormit,
Corroth,exact_match,Corroth,
Corsin,exact_match,Corsin,
Cortina,exact_match,Cortina,
Corulag,exact_match,Corulag,
Coruscant,exact_match,Coruscant,
Corva Yag,exact_match,Corva Yag,
Corvanni IV,exact_match,Corvanni IV,
Corvis Minor,exact_match,Corvis Minor,
Cotellier,exact_match,Cotellier,
Council,exact_match,Council,
Coveway,exact_match,Coveway,
Craci,exact_match,Craci,
Crait,exact_match,Crait,
Crakull,exact_match,Crakull,
Cranan,exact_match,Cranan,
Criton's Point,exact_match,Criton's Point,
Crovna,exact_match,Crovna,
Crustai,exact_match,Crustai,
Crystan,exact_match,Crystan,
Csaus,exact_match,Csaus,
Csilla,exact_match,Csilla,
Cularin,exact_match,Cularin,
Cuvacia,exact_match,Cuvacia,
Cybloc,exact_match,Cybloc,
Cyborrea,exact_match,Cyborrea,
Cyimarra,exact_match,Cyimarra,
Cyphar,exact_match,Cyphar,
Cyrillia,exact_match,Cyrillia,
D'ian,exact_match,D'ian,
D'Qar,exact_match,D'Qar,
D'rinba,exact_match,D'rinba,
Da Soocha,manual_required,,no exact or unique normalized match
Daalang,exact_match,Daalang,
Daan/Melida,exact_match,Daan/Melida,
Dachat,exact_match,Dachat,
Dactruria,exact_match,Dactruria,
Daemen,exact_match,Daemen,
Dagary Minor,exact_match,Dagary Minor,
Dagelin Minor,exact_match,Dagelin Minor,
Dagobah,exact_match,Dagobah,
Dahrtag,exact_match,Dahrtag,
Dakshee,exact_match,Dakshee,
Dalchon,exact_match,Dalchon,
Dalcretti,exact_match,Dalcretti,
Dalisor,exact_match,Dalisor,
Dalron,exact_match,Dalron,
Daluuj,exact_match,Daluuj,
Damendine,exact_match,Damendine,
Damoria,exact_match,Damoria,
Dankayo,exact_match,Dankayo,
Danteel,exact_match,Danteel,
Dantooine,exact_match,Dantooine,
Danuta,exact_match,Danuta,
Darada,exact_match,Darada,
Darek,exact_match,Darek,
Dargulli,exact_match,Dargulli,
Darkknell,exact_match,Darkknell,
Darlyn Boda,exact_match,Darlyn Boda,
Dartessex IV,exact_match,Dartessex IV,
Daruvvia,exact_match,Daruvvia,
Dasoor,exact_match,Dasoor,
Datar,exact_match,Datar,
Dathomir,exact_match,Dathomir,
Daupherm,exact_match,Daupherm,
Davirien,exact_match,Davirien,
Dela,exact_match,Dela,
Delacrix,exact_match,Delacrix,
Delephr,exact_match,Delephr,
Dellalt,exact_match,Dellalt,
Delle,exact_match,Delle,
Delphon,exact_match,Delphon,
Delrakkin,exact_match,Delrakkin,
Deltooine,exact_match,Deltooine,
Deminol,exact_match,Deminol,
Demophon,exact_match,Demophon,
Demos,exact_match,Demos,
Denab,exact_match,Denab,
Denarii Station,exact_match,Denarii Station,
Deneba,exact_match,Deneba,
Denebia,exact_match,Denebia,
Denevar,exact_match,Denevar,
Dennaskar,exact_match,Dennaskar,
Dennogra,exact_match,Dennogra,
Denon,exact_match,Denon,
Denova,exact_match,Denova,
Dentaal,exact_match,Dentaal,
Derellium,exact_match,Derellium,
Derra,exact_match,Derra,
Desevro,exact_match,Desevro,
Devaron,exact_match,Devaron,
Devon,exact_match,Devon,
Deysum,exact_match,Deysum,
Diab,manual_required,,no exact or unique normalized match
Diamal,exact_match,Diamal,
Dica,exact_match,Dica,
Dilbana,exact_match,Dilbana,
Dilonexa,exact_match,Dilonexa,
Din Pulsar,exact_match,Din Pulsar,
Dioll,exact_match,Dioll,
Dirha,exact_match,Dirha,
Divora,exact_match,Divora,
Diyu,exact_match,Diyu,
Djurmo,exact_match,Djurmo,
Doan,manual_required,,no exact or unique normalized match
Dohlban,exact_match,Dohlban,
Dohu,exact_match,Dohu,
Doldrums,exact_match,Doldrums,
Doldur,exact_match,Doldur,
Dolis,exact_match,Dolis,
Dolla,exact_match,Dolla,
Donadus,exact_match,Donadus,
Doniphon,exact_match,Doniphon,
Donovia,exact_match,Donovia,
Doreen,exact_match,Doreen,
Dorin,exact_match,Dorin,
Dorlo,exact_match,Dorlo,
Dornea,exact_match,Dornea,
Dorvalla,exact_match,Dorvalla,
Dosuun,exact_match,Dosuun,
Douglas,exact_match,Douglas,
Dra,exact_match,Dra,
Drackmar,exact_match,Drackmar,
Dractu,exact_match,Dractu,
Dramassia,exact_match,Dramassia,
Draria,exact_match,Draria,
Draukyze,exact_match,Draukyze,
Dravian Station,exact_match,Dravian Station,
Drearia,exact_match,Drearia,
Dreena,exact_match,Dreena,
Dremulae,exact_match,Dremulae,
Dressel,exact_match,Dressel,
Drexel,exact_match,Drexel,
Droecil,exact_match,Droecil,
Drog,exact_match,Drog,
Drogheda,exact_match,Drogheda,
Dromund Kaas,exact_match,Dromund Kaas,
Drongar,exact_match,Drongar,
Droxu,exact_match,Droxu,
Drualkiin,exact_match,Drualkiin,
Druckenwell,exact_match,Druckenwell,
Drurish,manual_required,,no exact or unique normalized match
Du Hutta,exact_match,Du Hutta,
Dubrava,exact_match,Dubrava,
Dubrillion,exact_match,Dubrillion,
Duinarbulon,exact_match,Duinarbulon,
Dulathia,exact_match,Dulathia,
Dulin,exact_match,Dulin,
Dulvoyinn,exact_match,Dulvoyinn,
Durgen's Star,exact_match,Durgen's Star,
Durkteel,exact_match,Durkteel,
Duro,exact_match,Duro,
Duroon,exact_match,Duroon,
Dweem,manual_required,,no exact or unique normalized match
Eadu,exact_match,Eadu,
Eamus,exact_match,Eamus,
Ebaq,exact_match,Ebaq,
Ebra,exact_match,Ebra,
Echnos,exact_match,Echnos,
Eclipse,exact_match,Eclipse,
Ediorung,exact_match,Ediorung,
Edusa,exact_match,Edusa,
Eiattu,exact_match,Eiattu,
Eibon,exact_match,Eibon,
Ejolus,exact_match,Ejolus,
Ekibo,exact_match,Ekibo,
Elamposnia,exact_match,Elamposnia,
Elbara,exact_match,Elbara,
Elgit,exact_match,Elgit,
Eliad,exact_match,Eliad,
Elom,exact_match,Elom,
Elrood,exact_match,Elrood,
Elshandruu Pica,exact_match,Elshandruu Pica,
Emberlene,exact_match,Emberlene,
Emmer,exact_match,Emmer,
Empress Teta,exact_match,Empress Teta,
Enarc,exact_match,Enarc,
Endex,exact_match,Endex,
Endor,exact_match,Endor,
Endor Gate,exact_match,Endor Gate,
Endoraan,exact_match,Endoraan,
Endregaad,exact_match,Endregaad,
Enisca,exact_match,Enisca,
Entralla,exact_match,Entralla,
Entuur,exact_match,Entuur,
Eol Sha,exact_match,Eol Sha,
Epica,exact_match,Epica,
Equanus,exact_match,Equanus,
Er'Kit,exact_match,Er'Kit,
Erai,exact_match,Erai,
Eredenn,exact_match,Eredenn,
Ereesus,exact_match,Ereesus,
Eriadu,exact_match,Eriadu,
Eridicon,exact_match,Eridicon,
Erilnar,exact_match,Erilnar,
Ertegas,exact_match,Ertegas,
Erysthes,exact_match,Erysthes,
Esfandia,exact_match,Esfandia,
Eshan,exact_match,Eshan,
Esseles,exact_match,Esseles,
Ession,exact_match,Ession,
Etti,exact_match,Etti,
Euceron,exact_match,Euceron,
Excarga,exact_match,Excarga,
Exegol,exact_match,Exegol,
Exodeen,exact_match,Exodeen,
Fabrin,exact_match,Fabrin,
Fadden,exact_match,Fadden,
Faldos,exact_match,Faldos,
Falko,exact_match,Falko,
Falleen,exact_match,Falleen,
Far Indosa,exact_match,Far Indosa,
Far Pando,exact_match,Far Pando,
Farana,exact_match,Farana,
Farnica,exact_match,Farnica,
Faro,exact_match,Faro,
Farquar,exact_match,Farquar,
Farrfin,exact_match,Farrfin,
Farstine,exact_match,Farstine,
Farstone,exact_match,Farstone,
Febrini,exact_match,Febrini,
Fedalle,exact_match,Fedalle,
Fedje,exact_match,Fedje,
Feena,exact_match,Feena,
Feenix,exact_match,Feenix,
Feldwes,exact_match,Feldwes,
Felucia,exact_match,Felucia,
Fengrine,exact_match,Fengrine,
Fennesa,exact_match,Fennesa,
Ferro,exact_match,Ferro,
Fest,exact_match,Fest,
Feswe Corridor,exact_match,Feswe Corridor,
Feswe Minor,exact_match,Feswe Minor,
Feswe Prime,exact_match,Feswe Prime,
Fether,exact_match,Fether,
Fibuli,exact_match,Fibuli,
Filordis,exact_match,Filordis,
Firrerre,exact_match,Firrerre,
Florn,exact_match,Florn,
Florrum,exact_match,Florrum,
Fodro,exact_match,Fodro,
Foerost,exact_match,Foerost,
Foless,exact_match,Foless,
Fondor,exact_match,Fondor,
Formos,exact_match,Formos,
Fornax,exact_match,Fornax,
Forsen,exact_match,Forsen,
Foundry,exact_match,Foundry,
Frego,exact_match,Frego,
Fresia,exact_match,Fresia,
Froswythe,exact_match,Froswythe,
Fwatna,exact_match,Fwatna,
Fwillsving,exact_match,Fwillsving,
G'wenee,exact_match,G'wenee,
Gabredor,exact_match,Gabredor,
Gacerian,exact_match,Gacerian,
Gala,exact_match,Gala,
Galactic Center,exact_match,Galactic Center,
Galand,exact_match,Galand,
Galantos,exact_match,Galantos,
Galidraan,exact_match,Galidraan,
Gallinore,exact_match,Gallinore,
Galvoni,exact_match,Galvoni,
Gama,exact_match,Gama,
Gamor,exact_match,Gamor,
Gamorr,exact_match,Gamorr,
Ganath,exact_match,Ganath,
Gand,exact_match,Gand,
Gandeal,exact_match,Gandeal,
Gandolo,exact_match,Gandolo,
Gannaria,exact_match,Gannaria,
Ganthel,exact_match,Ganthel,
Garel,exact_match,Garel,
Gargon,exact_match,Gargon,
Garnib,exact_match,Garnib,
Garos,exact_match,Garos,
Garqi,exact_match,Garqi,
Gaulus,exact_match,Gaulus,
Gaurick,exact_match,Gaurick,
Gavryn,exact_match,Gavryn,
Gbu,exact_match,Gbu,
Gedi,exact_match,Gedi,
Gelda,exact_match,Gelda,
Gelviddis Cluster,exact_match,Gelviddis Cluster,
Genassa,exact_match,Genassa,
Gendrah-Narvin,exact_match,Gendrah-Narvin,
Generis,exact_match,Generis,
Genian,exact_match,Genian,
Genon,exact_match,Genon,
Geonosis,exact_match,Geonosis,
Geris,exact_match,Geris,
Geroon,exact_match,Geroon,
Gerrard,exact_match,Gerrard,
Gerrenthum,exact_match,Gerrenthum,
Gestrex,exact_match,Gestrex,
Gholondreine,exact_match,Gholondreine,
Ghorman,exact_match,Ghorman,
Gibbela,exact_match,Gibbela,
Gigor,exact_match,Gigor,
Giju,exact_match,Giju,
Gilatter,exact_match,Gilatter,
Gizer,exact_match,Gizer,
Glade,exact_match,Glade,
Glee Anselm,exact_match,Glee Anselm,
Glithnos,exact_match,Glithnos,
Glom Tho,exact_match,Glom Tho,
Glottal,exact_match,Glottal,
Golden Nyss,exact_match,Golden Nyss,
Gonmore,exact_match,Gonmore,
Goorla,exact_match,Goorla,
Gorno,exact_match,Gorno,
Goroth,exact_match,Goroth,
Gorse,exact_match,Gorse,
Gorsh,exact_match,Gorsh,
Gos Hutta,exact_match,Gos Hutta,
Grakouine,exact_match,Grakouine,
Grandine,exact_match,Grandine,
Gravan Seven,exact_match,Gravan Seven,
Gravlex Med,exact_match,Gravlex Med,
Gree,exact_match,Gree,
Grizmallt,exact_match,Grizmallt,
Gromas,exact_match,Gromas,
Groth,exact_match,Groth,
Guiteica,exact_match,Guiteica,
Gulma,exact_match,Gulma,
Gulvitch,exact_match,Gulvitch,
Gwori,exact_match,Gwori,
Gyndine,exact_match,Gyndine,
H'ratth,exact_match,H'ratth,
Habassa,exact_match,Habassa,
Had Abbadon,exact_match,Had Abbadon,
Hakassi,exact_match,Hakassi,
Halm,exact_match,Halm,
Halmad,exact_match,Halmad,
Handooine,exact_match,Handooine,
Hapes,exact_match,Hapes,
Har Binande,exact_match,Har Binande,
Harloen,exact_match,Harloen,
Harrin,exact_match,Harrin,
Harterra,exact_match,Harterra,
Haruun Kal,exact_match,Haruun Kal,
Haseria,exact_match,Haseria,
Hast,exact_match,Hast,
Haverling,exact_match,Haverling,
Havricus,exact_match,Havricus,
Heffrin,exact_match,Heffrin,
Helska,exact_match,Helska,
Hemei,exact_match,Hemei,
Hensara,exact_match,Hensara,
Heptalia,exact_match,Heptalia,
Herdessa,exact_match,Herdessa,
Herzob,exact_match,Herzob,
Hestria,exact_match,Hestria,
Hethar,exact_match,Hethar,
Hewett,exact_match,Hewett,
High Chunah,exact_match,High Chunah,
Hiit,exact_match,Hiit,
Hijado,exact_match,Hijado,
Hijarna,exact_match,Hijarna,
Hijo,exact_match,Hijo,
Hillindor,exact_match,Hillindor,
Hilo,exact_match,Hilo,
Hinakuu,exact_match,Hinakuu,
Hirsi,exact_match,Hirsi,
Hishyim,exact_match,Hishyim,
Hjaff,exact_match,Hjaff,
Hok,exact_match,Hok,
Holess,exact_match,Holess,
Hollastin,exact_match,Hollastin,
Honoghr,exact_match,Honoghr,
Horuz,exact_match,Horuz,
Hosko,exact_match,Hosko,
Hosnian Prime,exact_match,Hosnian Prime,
Hosrel,exact_match,Hosrel,
Hoth,exact_match,Hoth,
Houche,exact_match,Houche,
Hovan,exact_match,Hovan,
Hoylin,exact_match,Hoylin,
Huk,exact_match,Huk,
Huldamun,exact_match,Huldamun,
Hull's Star,exact_match,Hull's Star,
Huloon,exact_match,Huloon,
Humbarine,exact_match,Humbarine,
Hutlar,exact_match,Hutlar,
Hyabb,exact_match,Hyabb,
Hynah,exact_match,Hynah,
Hypori,exact_match,Hypori,
Iast,exact_match,Iast,
Ibanjji,exact_match,Ibanjji,
Ichtor,exact_match,Ichtor,
Iego,exact_match,Iego,
Ifmix,exact_match,Ifmix,
Iktotchon,exact_match,Iktotchon,
Iliabath,exact_match,Iliabath,
Illarreen,exact_match,Illarreen,
Illodia,exact_match,Illodia,
Illoud,exact_match,Illoud,
Ilos,exact_match,Ilos,
Ilos Minor,exact_match,Ilos Minor,
Ilum,exact_match,Ilum,
Immalia,exact_match,Immalia,
Imynusoph,exact_match,Imynusoph,
Indellian,exact_match,Indellian,
Indobok,exact_match,Indobok,
Indu San,exact_match,Indu San,
Indupar,exact_match,Indupar,
Ingo,exact_match,Ingo,
Inysh,exact_match,Inysh,
Ione,exact_match,Ione,
Iope,exact_match,Iope,
Iotra,exact_match,Iotra,
Iphigin,exact_match,Iphigin,
Iridium,exact_match,Iridium,
Iridonia,exact_match,Iridonia,
Irith,exact_match,Irith,
Isde Naha,exact_match,Isde Naha,
Iseno,exact_match,Iseno,
Ishanna,exact_match,Ishanna,
Isiring,exact_match,Isiring,
Isis,exact_match,Isis,
Iskalon,exact_match,Iskalon,
Ison,exact_match,Ison,
Issagra,exact_match,Issagra,
Issor,exact_match,Issor,
Itani,exact_match,Itani,
Ithor,exact_match,Ithor,
Ithull,exact_match,Ithull,
Ixtlar,exact_match,Ixtlar,
J't'p'tan,exact_match,J't'p'tan,
Jabiim,exact_match,Jabiim,
Jaciprus,exact_match,Jaciprus,
Jaemus,exact_match,Jaemus,
Jagomir,exact_match,Jagomir,
Jaguada,exact_match,Jaguada,
